dataset,model,protocol,method,representation,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap,aurc,error,n_subjects_total,n_subjects_available_accuracy,n_subjects_available_macro_f1,n_subjects_available_brier,n_subjects_available_nll,n_subjects_available_ece_15,n_subjects_available_confidence_gap,n_subjects_available_mean_confidence,n_subjects_available_overconfidence_positive_gap,n_subjects_available_overconfidence_negative_gap,n_subjects_available_aurc,n_subjects_available_error
uci_har,logistic,sample_mixed,raw,V1_official_features,0.982160227619223,0.982886349632394,0.028131183520759526,0.05641430424517121,0.009848205472322331,0.0017121085648538648,0.9838723361840767,0.004172421354575208,-0.0024603127897213427,0.0016970785921346875,0.01783977238077711,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,sample_mixed,temp,V1_official_features,0.982160227619223,0.982886349632394,0.02820995350400866,0.0560948079165279,0.010800802974032627,-0.0011834899060168406,0.980976737713206,0.0028552394124018083,-0.004038729318418649,0.001723304006562821,0.01783977238077711,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,subject_disjoint,iso,V1_official_features,0.9397488859084436,0.9334380309953948,0.09952626120719911,0.6035788923253141,0.04719119125499972,0.01788141791366234,0.957630303822106,0.0268694919738407,-0.00898807406017836,0.019901792386724553,0.06025111409155632,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,subject_disjoint,raw,V1_official_features,0.9441964271815306,0.9395561047032615,0.09157097924802488,0.24762837971537907,0.03703461205237302,0.03156077897997706,0.9757572061615076,0.03278979003006045,-0.0012290110500833935,0.015817129406205985,0.05580357281846939,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,subject_disjoint,temp,V1_official_features,0.9441964271815306,0.9395561047032615,0.09239952017914327,0.22449614852899752,0.04743434962762662,0.0019520571629699118,0.9461484843445006,0.02140652943616682,-0.019454472273196907,0.015795128945448635,0.05580357281846939,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,iso,V1_official_features,0.946718523092759,0.9457187806202596,0.0775898846825547,0.28497364228627536,0.03222895513993138,0.011549256198041166,0.9582677792908001,0.017691102165715466,-0.006141845967674301,0.011921529702231112,0.0532814769072411,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,V1_official_features,0.9521142793769043,0.9519156220233818,0.09184855422797256,0.19218038964127318,0.09429446705700681,-0.08819977094389254,0.8639145084330119,0.0,-0.08819977094389254,0.007152343227366495,0.04788572062309564,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,temp,V1_official_features,0.9521142793769043,0.9519156220233818,0.07178817516198548,0.12325813999027414,0.02852350114591816,0.0035962271041256044,0.95571050648103,0.0138125829306887,-0.010216355826563096,0.006512492427353731,0.04788572062309564,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,sample_mixed,iso,V1_official_features,0.9748209747347707,0.9743275122756927,0.0380912573538167,0.12828794652623363,0.013770273373193686,0.003480822934939847,0.9783017976697105,0.007354428644887495,-0.0038736057099476467,0.004255957202006169,0.025179025265229322,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,sample_mixed,raw,V1_official_features,0.9753070022709565,0.9749272035815056,0.062054107139742506,0.14735569764506323,0.09221940705153707,-0.09155650776625875,0.8837504945046977,0.0,-0.09155650776625875,0.0020373645030862873,0.024692997729043542,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,sample_mixed,temp,V1_official_features,0.9753070022709565,0.9749272035815056,0.03690920985646071,0.06364025191385665,0.013181272988719886,0.0008359660203524865,0.976142968291309,0.0057912696827725095,-0.004955303662420024,0.0018288306209727821,0.024692997729043542,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,subject_disjoint,iso,V1_official_features,0.9192892708604294,0.9095795344033655,0.12254594728740603,0.5417947505307341,0.05619630612613429,0.023120431807735816,0.9424097026681653,0.030964110544248528,-0.007843678736512712,0.02360823098612735,0.08071072913957056,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,random_forest,subject_disjoint,raw,V1_official_features,0.9247824463917682,0.9156934381230247,0.13425067843965566,0.2617459060044242,0.1081352637997511,-0.0965045546438844,0.8282778917478839,3.885836385836357e-05,-0.09654341300774276,0.018094960609895048,0.07521755360823174,30,30,30,30,30,30,30,30,30,30,30,30
