dataset,model,protocol,method,target_coverage,coverage,selective_error,full_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_selective_error,n_subjects_available_full_error
uci_har,hist_gradient_boosting,subject_disjoint,iso,1.0,0.9993743565295835,0.06607738547180564,0.06637441258080838,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.5,0.48122935081776347,0.0038240281351569,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.6,0.5804025929287118,0.007287607151544737,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.7,0.6878628961444961,0.013101347597764424,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.8,0.7890332090244733,0.020679760611701667,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.9,0.8886183729928715,0.03479852390303926,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,1.0,0.9995112008873454,0.0644624091157467,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,0.5,0.48222849576724225,0.0043889820416931295,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,0.6,0.5851896884848901,0.008168888972193217,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,0.7,0.6912502889804557,0.013985118205501407,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,0.8,0.7937539906128109,0.022337535991359833,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,0.9,0.8862428944275479,0.034654530137402155,0.06465608106283818,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,1.0,0.9983518532501879,0.0640620686675046,0.06465608106283818,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,0.5,0.6733513433800006,0.008609253450518505,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,0.6,0.7287078802753776,0.008279456712327092,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,0.7,0.7636581438321818,0.008946878900295075,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,0.8,0.8196400171206893,0.009366167059137067,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,0.9,0.9030560559248979,0.012346307519420984,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,1.0,0.9997079703326783,0.03261281756740852,0.03270332320036855,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.5,0.49916101007753244,0.0027240025034192417,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.6,0.5961522876797244,0.0028831733850230444,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.7,0.691503432408228,0.003010195434762093,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.8,0.7898668070343903,0.00446576790238092,0.03210669712846755,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.9,0.8917371963730107,0.009305103908198536,0.03210669712846755,30,30,30,30
