family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,model_dataset,uci_har,extra_trees,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.062238053626631706,0.04145327542771034,0.0848067585084536,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,hist_gradient_boosting,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.005927620438769667,6.34920634920635e-05,0.01577122985013208,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,cnn1d,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,4,10,5000,0.009306540391775944,4.597701149425287e-05,0.026848374901198943,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,logistic,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,5,10,5000,0.12640193450666956,0.08046821641177855,0.17718102420620768,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,random_forest,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,48,2,1,1,10,1,0,1,all_required_models,0,10,5000,0.0601286375655898,0.030691952299377327,0.10807335539580229,48,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,extra_trees,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,49,1,1,1,10,1,0,1,all_required_models,0,10,5000,0.08234375835327958,0.0436040981137164,0.13270056925270152,49,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,hist_gradient_boosting,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,2,10,5000,0.05526891813848744,0.025688421348060403,0.09520192923771315,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,cnn1d,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,49,1,1,1,10,1,0,1,all_required_models,0,10,5000,0.0684372560059307,0.029604568918615223,0.1204163319541227,49,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,logistic,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.007961602511519453,-0.017485522584131385,0.03131818331288013,80,2,0.5240951809638073,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,random_forest,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.016323949981433054,-0.0014404535693342778,0.033628768977949204,80,2,0.07238552289542091,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
