dataset,model,protocol,seed,representation,subject,n_windows,n_folds_contributed,method,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,aurc,error,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1625,322,1,raw,0.5869565217391305,0.5129806619335309,0.5028439898399225,1.0702712170354365,0.16054459392839338,-0.10048112648059127,0.16951829976770225,0.4130434782608695,0.4864753952585392,0.0,-0.10048112648059127
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1625,322,1,temp,0.5869565217391305,0.5129806619335309,0.601366375123676,1.3702960906607893,0.2705729827195893,-0.2530916539640417,0.20870647623761523,0.4130434782608695,0.3338648677750888,0.0,-0.2530916539640417
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1625,322,1,iso,0.6645962732919255,0.6214731289444541,0.5090572906108064,1.2128082208349436,0.2096609173508958,-0.19274751272056023,0.14867940598834076,0.3354037267080745,0.47184876057136527,0.0,-0.19274751272056023
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1626,335,1,raw,0.7522388059701492,0.7330174138703267,0.32886579027639357,0.6792687477120337,0.08669456127864211,-0.02412599013812511,0.06152592777668174,0.24776119402985075,0.7281128158320241,0.0,-0.02412599013812511
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1626,335,1,temp,0.7522388059701492,0.7330174138703267,0.5262046254671547,1.2126460184487449,0.36368179623140284,-0.36368179623140273,0.056513740639508064,0.24776119402985075,0.3885570097387465,0.0,-0.36368179623140273
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1626,335,1,iso,0.7104477611940299,0.67026854467384,0.4112024843272536,0.9803109674890761,0.16645289777957725,-0.14967208885219674,0.0872137321368184,0.28955223880597014,0.5607756723418331,0.0,-0.14967208885219674
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1627,324,1,raw,0.6296296296296297,0.5833070421555592,0.5001636931228046,1.091900624418067,0.12079692843519611,-0.1017956047514339,0.1789597547366051,0.37037037037037035,0.5278340248781958,0.0,-0.1017956047514339
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1627,324,1,temp,0.6296296296296297,0.5833070421555592,0.5790792550648912,1.3076641913031382,0.26203284392136605,-0.25716224954131806,0.18650415341708224,0.37037037037037035,0.3724673800883116,0.0,-0.25716224954131806
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1627,324,1,iso,0.6635802469135802,0.6228465319123846,0.5169766385930821,1.2794689452954267,0.16567192124327879,-0.15995821065647797,0.19275386467224978,0.3364197530864198,0.5036220362571022,0.0,-0.15995821065647797
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1628,351,1,raw,0.3475783475783476,0.3048354639218591,0.7391315708015531,1.833522773732666,0.12949713069064664,-0.010733601735358256,0.3865502317591921,0.6524216524216524,0.33684474584298935,0.0,-0.010733601735358256
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1628,351,1,temp,0.3475783475783476,0.3048354639218591,0.735361621053554,1.8204429497937773,0.14794618487791006,0.03422704767267126,0.3878763353018589,0.6524216524216524,0.38180539525101886,0.03422704767267126,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1628,351,1,iso,0.2934472934472934,0.25415453617208006,0.7451879442828757,1.9198586563710118,0.19107100488544748,0.15964415605016463,0.4071030750002494,0.7065527065527066,0.45309144949745805,0.15964415605016463,0.0
